ATP1A1
CCND1
CDK4
CDK6
EP300
KEAP1
KRAS
MDM2
MEN1
MYC
NF2
PPP2R1A
PTEN
SDHB
TP53
TSC1
TSC2
ACO2
ADSL
AMBRA1
BCL2L1
C1orf109
CDAN1
CFLAR
CRKL
DNAJC9
FERMT2
GMPS
GPX4
GRB2
HIST2H3A
INTS6
ITGAV
KIF18A
MARS2
MCL1
MED1
NAMPT
NMT1
NXT1
PPP1R12A
PRKRA
PSMB5
PSMB6
RAN
SCAP
SEPHS2
SNAP23
SNRPB2
SOD2
TADA1
TADA2B
TAF5L
TBC1D3
TFRC
THAP1
TRPM7
TXNRD1
TYMS
WDR1
YRDC
